X,Y,ruta,parada,label,itinerario,objectid,linea
-8409915.40574305,699487.136614606,C6-019,Cra. 36C con Cll 79B,Cra. 36C con Cll 79B,C6-019 Raizal -  Gardel - Estación Universidad,1661,C6-019 Raizal - Gardel - Estación Universidad
-8410124.31564934,699458.758854877,C6-019,Cra. 40 con Cll 78,Cra. 40 con Cll 78,C6-019 Raizal -  Gardel - Estación Universidad,1662,C6-019 Raizal - Gardel - Estación Universidad
-8410326.45619082,699429.983083691,C6-019,Cll.78 con Cra.42,Cll.78 con Cra.42,C6-019 Raizal -  Gardel - Estación Universidad,1663,C6-019 Raizal - Gardel - Estación Universidad
-8410482.01180274,699303.001052927,C6-019,Cra 43 con Cll 76,Cra 43 con Cll 76,C6-019 Raizal -  Gardel - Estación Universidad,1664,C6-019 Raizal - Gardel - Estación Universidad
-8410776.25449079,699152.966067482,C6-019,Cll 72A con Cra. 45,Cll 72A con Cra. 45,C6-019 Estación Universidad - Gardel - Raizal,1665,C6-019 Raizal - Gardel - Estación Universidad
-8410477.99426861,699302.571294695,C6-019,Cra 43 con Cll 76,Cra 43 con Cll 76,C6-019 Estación Universidad - Gardel - Raizal,1666,C6-019 Raizal - Gardel - Estación Universidad
-8410326.97057371,699426.990344308,C6-019,Cll.78 con Cra.42,Cll.78 con Cra.42,C6-019 Estación Universidad - Gardel - Raizal,1667,C6-019 Raizal - Gardel - Estación Universidad
-8410121.38894784,699458.007427473,C6-019,Cra. 40 con Cll 78,Cra. 40 con Cll 78,C6-019 Estación Universidad - Gardel - Raizal,1668,C6-019 Raizal - Gardel - Estación Universidad
-8409897.65266062,699497.620072782,C6-019,Cra. 36C con Cll 79B,Cra. 36C con Cll 79B,C6-019 Estación Universidad - Gardel - Raizal,1669,C6-019 Raizal - Gardel - Estación Universidad
-8409651.01933643,699465.55374191,C6-019,Cra. 32 con Cll 79,Cra. 32 con Cll 79,C6-019 Estación Universidad - Gardel - Raizal,1670,C6-019 Raizal - Gardel - Estación Universidad
-8409785.15339584,699975.447938558,C6-019A,Cra 36 con Cll 84B,Cra 36 con Cll 84B,C6-019A Parada Gardel,1671,C6-019A Jardín – Parada Gardel
-8409701.09012616,699703.290197462,C6-019A,Cra 32 con Cll 82,Cra 32 con Cll 82,C6-019A Parada Gardel,1672,C6-019A Jardín – Parada Gardel
-8409694.05455799,699562.520250507,C6-019A,Cra 32 con Cll 80,Cra 32 con Cll 80,C6-019A Parada Gardel,1673,C6-019A Jardín – Parada Gardel
-8409915.40574305,699487.136614606,C6-019A,Cra. 36C con Cll 79B,Cra. 36C con Cll 79B,C6-019A Parada Gardel,1674,C6-019A Jardín – Parada Gardel
-8410124.31564934,699458.758854877,C6-019A,Cra. 40 con Cll 78,Cra. 40 con Cll 78,C6-019A Parada Gardel,1675,C6-019A Jardín – Parada Gardel
-8410326.45619082,699429.983083691,C6-019A,Cll.78 con Cra.42,Cll.78 con Cra.42,C6-019A Parada Gardel,1676,C6-019A Jardín – Parada Gardel
